id,team_id,previous_team_id,from_year,to_year,notes,created_at,updated_at
434,485,,2005,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
435,486,,2005,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
436,487,,2006,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
437,488,,2006,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
438,489,,2006,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
439,490,,2007,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
440,491,,2007,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
441,492,,1999,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
442,493,,1999,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
443,494,,1999,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
444,453,,2022,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
445,495,,1999,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
446,497,,1997,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
447,498,,1997,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
448,499,,1997,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
449,500,,1997,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
450,501,,1997,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
451,502,,1997,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
452,503,,1997,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
453,505,,1951,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
454,506,,1951,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
455,507,,1951,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
456,508,,1951,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
457,509,,1951,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
458,510,,1951,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
459,511,,1951,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
460,512,,1951,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
461,513,,1951,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
462,514,,1951,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
463,515,,1951,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
464,516,,1951,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
465,517,,1951,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
466,518,,1951,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
467,519,,1951,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
468,521,,1951,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
469,522,,1951,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
470,523,,1951,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
471,524,,1951,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
472,525,,1951,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
